X Gaze Data, Y Gaze Data, Time 
1652,777,214060085
1687,769,214060097
2009,657,214060107
2021,651,214060121
2029,648,214060130
2034,646,214060141
2030,644,214060152
2028,635,214060165
2046,621,214060181
2031,614,214060192
2021,618,214060213
1977,630,214060237
1953,625,214060254
1942,621,214060267
1925,622,214060275
1910,615,214060286
1915,618,214060299
1911,619,214060307
1905,617,214060321
1903,615,214060330
1896,611,214060344
1886,611,214060353
1883,612,214060363
1883,612,214060380
1883,611,214060386
1882,612,214060401
1881,613,214060409
1876,614,214060420
1875,613,214060430
1872,613,214060445
1871,612,214060452
1870,609,214060463
1872,607,214060474
1875,609,214060487
1875,609,214060497
1877,608,214060507
1879,609,214060518
1878,609,214060530
1876,609,214060540
1876,608,214060552
1876,607,214060563
1876,607,214060575
1870,608,214060585
1869,609,214060597
1868,610,214060607
1868,614,214060618
1872,616,214060630
1873,616,214060640
1871,616,214060652
1872,614,214060665
1874,614,214060673
1873,611,214060685
1872,610,214060697
1872,610,214060707
1871,606,214060725
1858,595,214060738
1829,574,214060744
1783,540,214060752
1752,522,214060763
1750,521,214060774
1747,520,214060785
1744,518,214060796
1725,505,214060807
1716,500,214060821
1715,498,214060829
1714,502,214060840
1712,499,214060851
1711,498,214060863
1712,498,214060873
1712,498,214060885
1707,496,214060896
1701,496,214060907
1700,497,214060918
1700,498,214060930
1703,499,214060940
1707,496,214060951
1707,496,214060963
1708,496,214060973
1708,495,214060985
1707,493,214060996
1709,489,214061007
1708,487,214061020
1709,487,214061031
1718,484,214061040
1868,454,214061052
2252,370,214061063
2303,360,214061074
2348,354,214061085
2380,353,214061096
2406,352,214061107
2415,355,214061118
2423,359,214061129
2427,359,214061140
2428,359,214061151
2427,362,214061163
2426,363,214061173
2424,364,214061185
2423,363,214061196
2422,363,214061207
2424,363,214061218
2428,362,214061229
2431,361,214061244
2430,361,214061255
2424,360,214061264
2420,361,214061276
2420,361,214061285
2420,361,214061296
2421,358,214061307
2421,357,214061320
2420,352,214061329
2419,352,214061340
2420,348,214061351
2421,347,214061362
2422,349,214061373
2423,349,214061384
2422,351,214061396
2421,352,214061407
2420,351,214061418
2419,355,214061429
2435,348,214061440
2445,343,214061453
2447,340,214061463
2453,328,214061473
2455,325,214061485
2454,320,214061496
2453,323,214061506
2453,323,214061518
2450,327,214061529
2447,328,214061540
2444,331,214061551
2443,331,214061562
2438,329,214061573
2435,330,214061585
2434,329,214061596
2430,328,214061606
2428,328,214061618
2424,328,214061629
2417,329,214061640
2410,332,214061651
2399,337,214061667
2383,341,214061673
2343,347,214061684
2332,348,214061695
2326,348,214061706
2314,351,214061717
2299,353,214061729
2275,355,214061740
2250,357,214061751
2213,359,214061762
2164,362,214061773
2125,367,214061784
2102,370,214061796
2073,374,214061806
2040,378,214061817
2014,379,214061829
1984,380,214061839
1949,379,214061850
1937,378,214061862
1914,377,214061875
1870,378,214061884
1850,377,214061895
1842,381,214061906
1846,408,214061918
1895,410,214061929
2461,459,214061939
2487,460,214061951
2519,463,214061962
2536,465,214061973
2566,468,214061984
2641,474,214061995
2652,475,214062006
2642,478,214062017
2640,479,214062028
2609,486,214062039
2600,486,214062051
2591,485,214062062
2580,484,214062073
2574,485,214062084
2566,486,214062100
2553,486,214062111
2537,485,214062124
2529,485,214062129
2514,485,214062141
2500,486,214062155
2481,489,214062162
2465,493,214062172
2455,494,214062183
2461,489,214062195
2498,482,214062205
2509,480,214062217
2587,457,214062228
2591,452,214062239
2599,444,214062250
2569,434,214062262
2543,430,214062272
2538,431,214062284
2519,436,214062295
2448,443,214062306
2421,443,214062317
2402,442,214062328
2378,442,214062339
2338,440,214062350
2299,442,214062362
2259,444,214062372
2202,447,214062383
2153,449,214062395
2124,449,214062405
2102,449,214062417
2084,449,214062428
2055,451,214062439
2026,452,214062450
1976,452,214062462
1963,452,214062472
1949,451,214062484
1938,449,214062495
1915,448,214062510
1889,450,214062517
1872,451,214062529
1872,450,214062540
1870,449,214062551
1865,450,214062564
1857,448,214062574
1817,411,214062584
1713,303,214062595
1306,-16,214062606
1297,-23,214062617
1289,-28,214062628
1280,-33,214062638
1266,-42,214062650
1241,-56,214062661
1211,-66,214062672
1202,-64,214062683
1199,-65,214062695
1197,-65,214062705
1197,-64,214062721
1194,-66,214062728
1192,-70,214062739
1189,-69,214062749
1172,-63,214062761
1118,-39,214062772
1094,-29,214062783
1076,-25,214062795
1066,-22,214062805
1059,-20,214062817
1043,-2,214062828
1035,3,214062838
1036,1,214062850
1037,2,214062861
1036,2,214062872
1035,8,214062883
1035,7,214062895
1034,11,214062905
1034,13,214062917
1034,12,214062928
1028,14,214062938
1026,15,214062951
1024,19,214062961
1023,20,214062971
1023,19,214062983
1024,19,214062994
1025,17,214063005
1033,17,214063016
1070,12,214063028
1116,11,214063039
1122,11,214063050
1143,10,214063061
1148,10,214063072
1151,9,214063083
1166,11,214063094
1168,11,214063105
1172,13,214063116
1169,18,214063128
1167,20,214063138
1166,20,214063149
1166,22,214063164
1164,24,214063171
1164,25,214063183
1164,27,214063194
1166,32,214063204
1172,40,214063216
1172,42,214063227
1173,45,214063238
1171,45,214063249
1170,48,214063261
1168,55,214063271
1167,61,214063283
1167,64,214063294
1169,67,214063304
1170,67,214063323
1172,67,214063327
1228,76,214063338
1266,81,214063349
1291,80,214063361
1297,80,214063371
1307,82,214063382
1312,85,214063394
1319,87,214063404
1320,86,214063416
1321,88,214063428
1321,86,214063437
1323,86,214063449
1323,87,214063460
1328,92,214063471
1330,92,214063482
1330,91,214063494
1330,92,214063504
1336,90,214063516
1355,85,214063527
1363,84,214063537
1371,84,214063549
1415,86,214063562
1420,86,214063573
1426,86,214063584
1431,85,214063594
1431,83,214063604
1432,78,214063618
1432,80,214063646
1435,80,214063650
1438,80,214063654
1439,80,214063660
1439,74,214063672
1440,71,214063682
1441,65,214063694
1441,63,214063704
1442,59,214063715
1443,54,214063727
1444,32,214063737
1441,23,214063749
1440,21,214063760
1439,18,214063772
1440,19,214063782
1439,19,214063793
1439,20,214063803
1449,21,214063815
1473,22,214063827
1528,25,214063837
1533,24,214063848
1542,23,214063860
1546,23,214063870
1550,23,214063882
1558,21,214063893
1562,18,214063904
1565,17,214063915
1563,19,214063926
1563,19,214063936
1565,17,214063948
1567,12,214063960
1567,9,214063971
1569,9,214063982
1567,17,214063994
1566,19,214064004
1565,20,214064015
1537,21,214064028
1524,22,214064037
1517,22,214064049
1509,22,214064060
1501,18,214064071
1498,23,214064082
1487,32,214064093
1486,32,214064104
1478,30,214064115
